population,county,state
413538,Loudoun,Virginia
37591,Louisa,Virginia
12196,Lunenburg,Virginia
13261,Madison,Virginia
8834,Mathews,Virginia
30587,Mecklenburg,Virginia
10582,Middlesex,Virginia
98535,Montgomery,Virginia
14930,Nelson,Virginia
23091,New Kent,Virginia
11710,Northampton,Virginia
12095,Northumberland,Virginia
15232,Nottoway,Virginia
37051,Orange,Virginia
23902,Page,Virginia
17608,Patrick,Virginia
60354,Pittsylvania,Virginia
29652,Powhatan,Virginia
22802,Prince Edward,Virginia
38353,Prince George,Virginia
470335,Prince William,Virginia
34027,Pulaski,Virginia
7370,Rappahannock,Virginia
9023,Richmond,Virginia
94186,Roanoke,Virginia
22573,Rockbridge,Virginia
81948,Rockingham,Virginia
26586,Russell,Virginia
21566,Scott,Virginia
43616,Shenandoah,Virginia
30104,Smyth,Virginia
17631,Southampton,Virginia
136215,Spotsylvania,Virginia
152882,Stafford,Virginia
6422,Surry,Virginia
11159,Sussex,Virginia
40595,Tazewell,Virginia
40164,Warren,Virginia
53740,Washington,Virginia
18015,Westmoreland,Virginia
37383,Wise,Virginia
28684,Wythe,Virginia
68280,York,Virginia
159428,"Alexandria city, Virginia",
16762,"Bristol city, Virginia",
6478,"Buena Vista city, Virginia",
47266,"Charlottesville city, Virginia",
244835,"Chesapeake city, Virginia",
17370,"Colonial Heights city, Virginia",
5538,"Covington city, Virginia",
40044,"Danville city, Virginia",
5346,"Emporia city, Virginia",
24019,"Fairfax city, Virginia",
14617,"Falls Church city, Virginia",
7967,"Franklin city, Virginia",
29036,"Fredericksburg city, Virginia",
6347,"Galax city, Virginia",
134510,"Hampton city, Virginia",
53016,"Harrisonburg city, Virginia",
22529,"Hopewell city, Virginia",
7446,"Lexington city, Virginia",
82168,"Lynchburg city, Virginia",
41085,"Manassas city, Virginia",
17478,"Manassas Park city, Virginia",
12554,"Martinsville city, Virginia",
179225,"Newport News city, Virginia",
242742,"Norfolk city, Virginia",
3981,"Norton city, Virginia",
31346,"Petersburg city, Virginia",
12271,"Poquoson city, Virginia",
94398,"Portsmouth city, Virginia",
18249,"Radford city, Virginia",
230436,"Richmond city, Virginia",
99143,"Roanoke city, Virginia",
25301,"Salem city, Virginia",
24932,"Staunton city, Virginia",
92108,"Suffolk city, Virginia",
449974,"Virginia Beach city, Virginia",
22630,"Waynesboro city, Virginia",
14954,"Williamsburg city, Virginia",
28078,"Winchester city, Virginia",
19983,Adams,Washington
22582,Asotin,Washington
204390,Benton,Washington
77200,Chelan,Washington
77331,Clallam,Washington
488241,Clark,Washington
3985,Columbia,Washington
110593,Cowlitz,Washington
43429,Douglas,Washington
7627,Ferry,Washington
95222,Franklin,Washington
2225,Garfield,Washington
97733,Grant,Washington
75061,Grays Harbor,Washington
85141,Island,Washington
32221,Jefferson,Washington
2252782,King,Washington
271473,Kitsap,Washington
47935,Kittitas,Washington
22425,Klickitat,Washington
80707,Lewis,Washington
10939,Lincoln,Washington
66768,Mason,Washington
42243,Okanogan,Washington
22471,Pacific,Washington
13724,Pend Oreille,Washington
904980,Pierce,Washington
17582,San Juan,Washington
129205,Skagit,Washington
12083,Skamania,Washington
822083,Snohomish,Washington
522798,Spokane,Washington
45723,Stevens,Washington
290536,Thurston,Washington
4488,Wahkiakum,Washington
60760,Walla Walla,Washington
229247,Whatcom,Washington
50104,Whitman,Washington
250873,Yakima,Washington
16441,Barbour,West Virginia
119171,Berkeley,West Virginia
21457,Boone,West Virginia
13957,Braxton,West Virginia
21939,Brooke,West Virginia
91945,Cabell,West Virginia
7109,Calhoun,West Virginia
8508,Clay,West Virginia
8448,Doddridge,West Virginia
42406,Fayette,West Virginia
7823,Gilmer,West Virginia
11568,Grant,West Virginia
34662,Greenbrier,West Virginia
23175,Hampshire,West Virginia
28810,Hancock,West Virginia
13776,Hardy,West Virginia
67256,Harrison,West Virginia
28576,Jackson,West Virginia
57146,Jefferson,West Virginia
178124,Kanawha,West Virginia
15907,Lewis,West Virginia
20409,Lincoln,West Virginia
32019,Logan,West Virginia
17624,McDowell,West Virginia
56072,Marion,West Virginia
30531,Marshall,West Virginia
26516,Mason,West Virginia
58758,Mercer,West Virginia
26868,Mineral,West Virginia
23424,Mingo,West Virginia
105612,Monongalia,West Virginia
13275,Monroe,West Virginia
17884,Morgan,West Virginia
24496,Nicholas,West Virginia
41411,Ohio,West Virginia
6969,Pendleton,West Virginia
7460,Pleasants,West Virginia
8247,Pocahontas,West Virginia
33432,Preston,West Virginia
56450,Putnam,West Virginia
73361,Raleigh,West Virginia
28695,Randolph,West Virginia
9554,Ritchie,West Virginia
13688,Roane,West Virginia
12573,Summers,West Virginia
16695,Taylor,West Virginia
6839,Tucker,West Virginia
8591,Tyler,West Virginia
24176,Upshur,West Virginia
39402,Wayne,West Virginia
8114,Webster,West Virginia
15065,Wetzel,West Virginia
5821,Wirt,West Virginia
83518,Wood,West Virginia
20394,Wyoming,West Virginia
20220,Adams,Wisconsin
15562,Ashland,Wisconsin
45244,Barron,Wisconsin
15036,Bayfield,Wisconsin
264542,Brown,Wisconsin
13031,Buffalo,Wisconsin
15414,Burnett,Wisconsin
50089,Calumet,Wisconsin
64658,Chippewa,Wisconsin
34774,Clark,Wisconsin
57532,Columbia,Wisconsin
16131,Crawford,Wisconsin
546695,Dane,Wisconsin
87839,Dodge,Wisconsin
27668,Door,Wisconsin
43150,Douglas,Wisconsin
45368,Dunn,Wisconsin
104646,Eau Claire,Wisconsin
4295,Florence,Wisconsin
103403,Fond du Lac,Wisconsin
9004,Forest,Wisconsin
51439,Grant,Wisconsin
36960,Green,Wisconsin
18913,Green Lake,Wisconsin
23678,Iowa,Wisconsin
5687,Iron,Wisconsin
20643,Jackson,Wisconsin
84769,Jefferson,Wisconsin
26687,Juneau,Wisconsin
169561,Kenosha,Wisconsin
20434,Kewaunee,Wisconsin
118016,La Crosse,Wisconsin
16665,Lafayette,Wisconsin
19189,Langlade,Wisconsin
27593,Lincoln,Wisconsin
78981,Manitowoc,Wisconsin
135692,Marathon,Wisconsin
40350,Marinette,Wisconsin
15574,Marquette,Wisconsin
4556,Menominee,Wisconsin
945726,Milwaukee,Wisconsin
46253,Monroe,Wisconsin
37930,Oconto,Wisconsin
35595,Oneida,Wisconsin
187885,Outagamie,Wisconsin
89221,Ozaukee,Wisconsin
7287,Pepin,Wisconsin
42754,Pierce,Wisconsin
43783,Polk,Wisconsin
70772,Portage,Wisconsin
13351,Price,Wisconsin
196311,Racine,Wisconsin
17252,Richland,Wisconsin
163354,Rock,Wisconsin
14178,Rusk,Wisconsin
90687,St. Croix,Wisconsin
64442,Sauk,Wisconsin
16558,Sawyer,Wisconsin
40899,Shawano,Wisconsin
115340,Sheboygan,Wisconsin
20343,Taylor,Wisconsin
29649,Trempealeau,Wisconsin
30822,Vernon,Wisconsin
22195,Vilas,Wisconsin
103868,Walworth,Wisconsin
15720,Washburn,Wisconsin
136034,Washington,Wisconsin
404198,Waukesha,Wisconsin
50990,Waupaca,Wisconsin
24443,Waushara,Wisconsin
171907,Winnebago,Wisconsin
72999,Wood,Wisconsin
38880,Albany,Wyoming
11790,Big Horn,Wyoming
46341,Campbell,Wyoming
14800,Carbon,Wyoming
13822,Converse,Wyoming
7584,Crook,Wyoming
39261,Fremont,Wyoming
13211,Goshen,Wyoming
4413,Hot Springs,Wyoming
8445,Johnson,Wyoming
99500,Laramie,Wyoming
19830,Lincoln,Wyoming
79858,Natrona,Wyoming
2356,Niobrara,Wyoming
29194,Park,Wyoming
8393,Platte,Wyoming
30485,Sheridan,Wyoming
9831,Sublette,Wyoming
42343,Sweetwater,Wyoming
23464,Teton,Wyoming
20226,Uinta,Wyoming
7805,Washakie,Wyoming
6927,Weston,Wyoming
8336817,New York City,New York
